COUNTRY_CODE,AREA_CODE,ISP,QTYPE,QCLASS,TTL,RDATA,RTYPE
,,,A,IN,300,103.7.30.123,A
US,*,*,A,IN,300,qq.com.edgesuite.net.,CNAME
CN,,,A,IN,300,103.7.30.123,A
CN,,MOB,A,IN,300,111.30.132.101,A
CN,,TEL,A,IN,300,123.151.148.111,A
CN,,TIE,A,IN,300,101.226.103.106,A
CN,,UNI,A,IN,300,112.90.83.112,A
CN,11,EDU,A,IN,300,115.25.209.39,A
CN,11,MOB,A,IN,300,111.30.132.101,A
CN,11,TEL,A,IN,300,123.151.148.111,A
CN,11,TIE,A,IN,300,182.254.8.146,A
CN,11,UNI,A,IN,300,125.39.240.113,A
CN,11,UNI,A,IN,300,61.135.157.156,A
CN,44,EDU,A,IN,300,182.254.34.74,A
CN,44,MOB,A,IN,300,120.198.201.156,A
CN,44,TEL,A,IN,300,14.17.32.211,A
CN,44,TEL,A,IN,300,14.17.42.40,A
CN,44,TEL,A,IN,300,59.37.96.63,A
CN,44,TIE,A,IN,300,182.254.34.74,A
CN,44,UNI,A,IN,300,112.90.83.112,A
CN,31,EDU,A,IN,300,115.25.209.39,A
CN,31,MOB,A,IN,300,117.135.169.41,A
CN,31,TEL,A,IN,300,101.226.103.106,A
CN,31,TIE,A,IN,300,182.254.8.146,A
CN,31,UNI,A,IN,300,140.206.160.207,A
CN,12,EDU,A,IN,300,115.25.209.39,A
CN,12,MOB,A,IN,300,111.30.132.101,A
CN,12,TEL,A,IN,300,123.151.148.111,A
CN,12,TIE,A,IN,300,182.254.8.146,A
CN,12,UNI,A,IN,300,125.39.240.113,A
CN,12,UNI,A,IN,300,61.135.157.156,A
CN,50,EDU,A,IN,300,115.25.209.39,A
CN,50,MOB,A,IN,300,120.198.201.156,A
CN,50,TEL,A,IN,300,182.140.167.44,A
CN,50,TIE,A,IN,300,182.254.8.146,A
CN,50,UNI,A,IN,300,175.155.116.108,A
CN,21,EDU,A,IN,300,115.25.209.39,A
CN,21,MOB,A,IN,300,111.30.132.101,A
CN,21,TEL,A,IN,300,123.151.148.111,A
CN,21,TIE,A,IN,300,182.254.8.146,A
CN,21,UNI,A,IN,300,125.39.240.113,A
CN,21,UNI,A,IN,300,61.135.157.156,A
CN,32,EDU,A,IN,300,115.25.209.39,A
CN,32,MOB,A,IN,300,117.135.169.41,A
CN,32,TEL,A,IN,300,180.96.86.192,A
CN,32,TIE,A,IN,300,182.254.8.146,A
CN,32,UNI,A,IN,300,140.206.160.207,A
CN,42,EDU,A,IN,300,182.254.34.74,A
CN,42,MOB,A,IN,300,120.198.201.156,A
CN,42,TEL,A,IN,300,14.17.32.211,A
CN,42,TEL,A,IN,300,14.17.42.40,A
CN,42,TEL,A,IN,300,59.37.96.63,A
CN,42,TIE,A,IN,300,182.254.8.146,A
CN,42,UNI,A,IN,300,140.206.160.207,A
CN,51,EDU,A,IN,300,115.25.209.39,A
CN,51,MOB,A,IN,300,120.198.201.156,A
CN,51,TEL,A,IN,300,182.140.167.44,A
CN,51,UNI,A,IN,300,175.155.116.108,A
CN,61,EDU,A,IN,300,115.25.209.39,A
CN,61,MOB,A,IN,300,120.198.201.156,A
CN,61,TEL,A,IN,300,113.142.21.81,A
CN,61,TIE,A,IN,300,182.254.8.146,A
CN,61,UNI,A,IN,300,123.138.162.83,A
CN,13,EDU,A,IN,300,115.25.209.39,A
CN,13,MOB,A,IN,300,111.30.132.101,A
CN,13,TEL,A,IN,300,123.151.148.111,A
CN,13,TIE,A,IN,300,182.254.8.146,A
CN,13,UNI,A,IN,300,125.39.240.113,A
CN,13,UNI,A,IN,300,61.135.157.156,A
CN,14,EDU,A,IN,300,115.25.209.39,A
CN,14,MOB,A,IN,300,111.30.132.101,A
CN,14,TEL,A,IN,300,113.142.21.81,A
CN,14,TIE,A,IN,300,182.254.8.146,A
CN,14,UNI,A,IN,300,125.39.240.113,A
CN,14,UNI,A,IN,300,61.135.157.156,A
CN,41,EDU,A,IN,300,115.25.209.39,A
CN,41,MOB,A,IN,300,120.198.201.156,A
CN,41,TEL,A,IN,300,101.226.103.106,A
CN,41,TIE,A,IN,300,182.254.8.146,A
CN,41,UNI,A,IN,300,125.39.240.113,A
CN,41,UNI,A,IN,300,61.135.157.156,A
CN,22,EDU,A,IN,300,115.25.209.39,A
CN,22,MOB,A,IN,300,111.30.132.101,A
CN,22,TEL,A,IN,300,123.151.148.111,A
CN,22,TIE,A,IN,300,182.254.8.146,A
CN,22,UNI,A,IN,300,125.39.240.113,A
CN,22,UNI,A,IN,300,61.135.157.156,A
CN,23,EDU,A,IN,300,115.25.209.39,A
CN,23,MOB,A,IN,300,111.30.132.101,A
CN,23,TEL,A,IN,300,123.151.148.111,A
CN,23,TIE,A,IN,300,182.254.8.146,A
CN,23,UNI,A,IN,300,125.39.240.113,A
CN,23,UNI,A,IN,300,61.135.157.156,A
CN,15,EDU,A,IN,300,115.25.209.39,A
CN,15,MOB,A,IN,300,111.30.132.101,A
CN,15,TEL,A,IN,300,123.151.148.111,A
CN,15,TIE,A,IN,300,182.254.8.146,A
CN,15,UNI,A,IN,300,125.39.240.113,A
CN,15,UNI,A,IN,300,61.135.157.156,A
CN,37,EDU,A,IN,300,115.25.209.39,A
CN,37,MOB,A,IN,300,111.30.132.101,A
CN,37,TEL,A,IN,300,111.30.132.101,A
CN,37,TIE,A,IN,300,182.254.8.146,A
CN,37,UNI,A,IN,300,125.39.240.113,A
CN,37,UNI,A,IN,300,61.135.157.156,A
CN,34,EDU,A,IN,300,111.30.132.101,A
CN,34,MOB,A,IN,300,117.135.169.41,A
CN,34,TEL,A,IN,300,101.226.103.106,A
CN,34,TIE,A,IN,300,182.254.8.146,A
CN,34,UNI,A,IN,300,140.206.160.207,A
CN,33,EDU,A,IN,300,115.25.209.39,A
CN,33,MOB,A,IN,300,117.135.169.41,A
CN,33,TEL,A,IN,300,115.236.139.174,A
CN,33,TEL,A,IN,300,115.236.148.160,A
CN,33,TIE,A,IN,300,182.254.8.146,A
CN,33,UNI,A,IN,300,124.160.163.169,A
CN,33,UNI,A,IN,300,124.160.175.160,A
CN,35,EDU,A,IN,300,115.25.209.39,A
CN,35,MOB,A,IN,300,120.198.201.156,A
CN,35,TEL,A,IN,300,14.17.32.211,A
CN,35,TEL,A,IN,300,14.17.42.40,A
CN,35,TEL,A,IN,300,59.37.96.63,A
CN,35,TIE,A,IN,300,182.254.8.146,A
CN,35,UNI,A,IN,300,112.90.83.112,A
CN,43,EDU,A,IN,300,182.254.34.74,A
CN,43,MOB,A,IN,300,120.198.201.156,A
CN,43,TEL,A,IN,300,14.17.32.211,A
CN,43,TEL,A,IN,300,14.17.42.40,A
CN,43,TEL,A,IN,300,59.37.96.63,A
CN,43,TIE,A,IN,300,182.254.8.146,A
CN,43,UNI,A,IN,300,112.90.83.112,A
CN,45,EDU,A,IN,300,182.254.34.74,A
CN,45,MOB,A,IN,300,120.198.201.156,A
CN,45,TEL,A,IN,300,14.17.32.211,A
CN,45,TEL,A,IN,300,14.17.42.40,A
CN,45,TEL,A,IN,300,59.37.96.63,A
CN,45,TIE,A,IN,300,182.254.8.146,A
CN,45,UNI,A,IN,300,112.90.83.112,A
CN,36,EDU,A,IN,300,115.25.209.39,A
CN,36,TEL,A,IN,300,101.226.103.106,A
CN,36,TIE,A,IN,300,182.254.8.146,A
CN,36,UNI,A,IN,300,112.90.83.112,A
